neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
Ingram,4205,535,6,44,6535,984,2023-04-03
Jefferson Hills,20114,2654,57,191,31065,3616,2023-04-03
Kennedy,16753,2238,51,123,20428,2305,2023-04-03
Kilbuck,714,27,0,5,1125,166,2023-04-03
Knoxville (Pittsburgh),4606,635,6,65,7183,1033,2023-04-03
Larimer (Pittsburgh),3795,607,13,67,6181,639,2023-04-03
Leet,1455,135,3,10,2475,323,2023-04-03
Leetsdale,1239,122,2,12,2065,234,2023-04-03
Liberty,3815,450,9,40,4920,821,2023-04-03
Lincoln,1046,110,3,24,1574,287,2023-04-03
Lincoln Place (Pittsburgh),4406,671,10,56,6580,964,2023-04-03
Lincoln-Lemington-Belmar (Pittsburgh),15152,3197,23,112,17836,1179,2023-04-03
Lower Lawrenceville (Pittsburgh),3655,332,3,32,6976,730,2023-04-03
Manchester (Pittsburgh),2870,377,7,59,4916,729,2023-04-03
Marshall,7981,463,6,53,17418,1961,2023-04-03
Marshall-Shadeland (Pittsburgh),5439,743,6,65,8553,1171,2023-04-03
McCandless,38852,4316,151,356,59512,6800,2023-04-03
Mcdonald,625,115,0,3,577,79,2023-04-03
Mckees rocks,8032,1124,23,124,12976,1693,2023-04-03
McKeesport,43447,7322,126,582,53450,6615,2023-04-03
Middle Hill (Pittsburgh),1906,208,7,56,3292,450,2023-04-03
Millvale,4319,559,4,31,7317,931,2023-04-03
Monroeville,51326,6892,151,606,70821,8094,2023-04-03
Moon,41847,4607,61,226,50629,6240,2023-04-03
Morningside (Pittsburgh),4105,481,7,46,7850,905,2023-04-03
Mount Lebanon,48500,5249,100,249,86331,8170,2023-04-03
Mount Oliver Borough,4397,453,7,62,6773,926,2023-04-03
Mount Washington (Pittsburgh),12097,1480,13,91,19071,2517,2023-04-03
Mt. Oliver (Pittsburgh),471,55,0,11,721,122,2023-04-03
Munhall,15280,1851,38,232,24269,3283,2023-04-03
Neville,1176,159,4,16,1968,218,2023-04-03
New Homestead (Pittsburgh),1031,151,2,11,1859,272,2023-04-03
North Braddock,6002,1058,8,85,8868,1239,2023-04-03
North Fayette,17520,1713,28,121,26036,3645,2023-04-03
North Oakland (Pittsburgh),9549,535,11,55,28991,1702,2023-04-03
North Shore (Pittsburgh),686,36,0,4,2358,121,2023-04-03
North Versailles,13521,1863,27,243,20148,2696,2023-04-03
Northview Heights (Pittsburgh),2057,274,7,31,3300,387,2023-04-03
O'Hara,8412,726,14,116,17914,1860,2023-04-03
Oakdale,2157,174,6,22,2738,354,2023-04-03
Oakmont,16767,2240,32,117,28153,1807,2023-04-03
Oakwood (Pittsburgh),923,84,3,18,1733,245,2023-04-03
Ohio,12169,2205,7,53,19058,1785,2023-04-03
Overbrook (Pittsburgh),5585,605,9,52,7474,938,2023-04-03
Penn Hills,60848,8752,127,796,91134,10823,2023-04-03
Pennsbury Village,893,123,0,3,1269,179,2023-04-03
Perry North (Pittsburgh),5199,615,9,57,8456,1070,2023-04-03
Perry South (Pittsburgh),5960,666,18,86,9981,1171,2023-04-03
Pine,15884,1215,15,90,26927,3234,2023-04-03
Pitcairn,4196,500,13,67,6254,781,2023-04-03
Pleasant Hills,13462,1537,40,121,19816,2363,2023-04-03
Plum,32969,4617,75,367,48306,6146,2023-04-03
Point Breeze (Pittsburgh),5836,375,5,26,16070,1274,2023-04-03
Point Breeze North (Pittsburgh),2811,323,3,33,6072,583,2023-04-03
Polish Hill (Pittsburgh),1631,107,0,13,3429,297,2023-04-03
Port Vue,5909,1137,15,88,8188,1297,2023-04-03
Rankin,1542,224,1,32,2801,368,2023-04-03
Regent Square (Pittsburgh),1145,79,2,7,2799,247,2023-04-03
Reserve,3535,310,8,40,5836,827,2023-04-03
Richland,15617,1827,55,132,20341,2675,2023-04-03
Ridgemont (Pittsburgh),674,55,1,1,886,135,2023-04-03
Robinson,24985,3459,26,159,38535,4157,2023-04-03
Ross,53091,6690,163,485,80110,8017,2023-04-03
Rosslyn Farms,325,9,1,3,664,84,2023-04-03
Scott,42331,6432,87,176,56197,4718,2023-04-03
Sewickley,3580,296,5,18,7254,765,2023-04-03
Sewickley Heights,881,35,1,3,1888,168,2023-04-03
